band,distance_km,name,reg_name,city,district,address,phone,email,website,rating,reviews,size_tier,seats_at_once,approved_capacity,approved_capacity_en,n_classes,classrooms,classroom_m2,building_m2,n_teachers,category,licensed_on,principal,director,match,reg_id,type,status,maps,lat,lng,place_id
0–5 km,0.74,D&V Art and English Academy 英語藝術學院,私立大衛與費雯莉英語短期補習班,桃園市,楊梅區,桃園市楊梅區四維里四維路62號,03 481 0548,dvenglish2021@gmail.com,,5,2,中型,198,198,198,3,3,73.08,210.65,1,外語類,2008-07-01,鄧泓敦,江筱書,address,33200807220007,學校,OPERATIONAL,https://maps.google.com/?cid=11706052368035496537&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9139281,121.18044069999999,ChIJjaZ1dFAjaDQRWULgfptAdKI
0–5 km,0.75,私立勝豐美語珠心算短期補習班,私立勝豐美語珠心算短期補習班,桃園市,楊梅區,桃園市楊梅區埔心里新興街35號,03 481 7643,li996110@gmail.com,http://www.anayeh.com/sf,5,12,小型,45,45,30,3,3,76.43,144.07,2,"外語類,商類：珠算、心算、會計",2002-02-20,葉至芹,黎桂容,address,33200209180017,學校,OPERATIONAL,https://maps.google.com/?cid=5622297850182312696&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.918405999999997,121.18533300000001,ChIJMTkWf0MjaDQR-CKPRRtqBk4
0–5 km,0.89,空中美語兒童美語 楊梅艾奇德 分校,,桃園市,楊梅區,桃園市楊梅區四維里文化街96號,03 481 8811,,http://www.4kids.com.tw/,5,1,,,,,,,,,,,,,,,,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=1863695743369810872&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9145519,121.1842762,ChIJyVnDHUUjaDQRuBP3gGct3Rk
0–5 km,0.96,承恩美語補習班,環愛國際教育管理顧問股份有限公司附設私立承恩語文數學短期補習班,桃園市,楊梅區,桃園市楊梅區四維里四維路162號,03 481 1177,pipi_5016@yahoo.com.tw,,4.8,33,中型,162,156,54,6,6,190.82,282.26,4,外語類,2004-12-16,陳和順,陳雪芳,phone,33200507130011,學校,OPERATIONAL,https://maps.google.com/?cid=11221506505123687293&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.912301000000003,121.18172340000001,ChIJ2as8PVAjaDQRfeuhWrbMups
0–5 km,3.03,甜蜜美語文理短期補習班,,桃園市,楊梅區,桃園市楊梅區裕成里裕成路158巷31號,03 431 4018,,,3,2,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=1919858757216377385&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.898957000000003,121.15943100000001,ChIJYbBk4E87aDQRKRrOKl61pBo
0–5 km,3.3,愛美語楊梅大同二校-漢峰補習班,私立漢峰文理短期補習班梅高分班,桃園市,楊梅區,桃園市楊梅區楊梅里梅高路60號,03 488 2055,melody_cher@yahoo.com.tw,,5,2,小型,84,340,106,14,4,111.3,182.51,6,"文理類,外語類",2025-12-24,謝鳳璇,歐馥瑄,address,33202512290001,學校,OPERATIONAL,https://maps.google.com/?cid=16961882910019448895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9172901,121.14555299999999,ChIJS3s3FgYlaDQRP3B6haO2ZOs
0–5 km,3.35,莫比思美語楊梅分校 智瀚語文補習班,私立智瀚語文短期補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大平街23號,03 478 3105,april.chen1977@gmail.com,,4.8,4,小型,76,71,46,4,4,88.19,190.76,4,外語類,2012-06-04,陳宗婷,陳宗婷,address,33201209210003,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=882732199886006311&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9107126,121.14666640000002,ChIJlRS3NzU7aDQRJygBRkIYQAw
0–5 km,3.37,愛美語楊梅大同一校-漢峰語文文理補習班,私立漢峰語文文理短期補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大平街62號,03 475 0803,melody_cher@yahoo.com.tw,https://www.facebook.com/hf4750803/?ref=bookmarks,5,21,中型,40,120,56,12,4,58.42,221.04,8,"文理類,外語類",2003-08-19,謝鳳璇,謝鳳璇,address,33200308260001,學校,OPERATIONAL,https://maps.google.com/?cid=14572345456801926781&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910870700000004,121.14639969999999,ChIJfQ3QwBs7aDQRfc70QPxeO8o
0–5 km,3.48,私立傑西美語短期補習班-楊梅兒童美語|推薦英文班|英文補習班|全美班|外師一對一|全民英檢課程|全科補習班|幼兒美語,私立傑西魔法美語文理短期補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大模街33號57號,03 478 0758,jessiemagicschool@gmail.com,https://www.facebook.com/jessiemagicschooll/,4.9,104,中型,62,176,104,14,5,81.39,143.94,11,外語類,2002-10-11,廖月華,張秀蘭,address,33200211130003,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=10190572630728074260&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9118364,121.14486769999999,ChIJzQhw0DQ7aDQRFGRd0NAvbI0
0–5 km,3.48,政大聯合文理語文短期補習班,私立傑兒文理短期補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大成路109號3F,0981 745 350,qaz62062009@gmail.com,,1,1,小型,80,118,20,5,4,128.13,185.33,1,"文理類,外語類",2009-06-23,張瑞智,張瑞智,address,33200909110003,學校,OPERATIONAL,https://maps.google.com/?cid=709538259725970128&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910428,121.14539099999999,ChIJcznwIDU7aDQR0OqDtUnJ2Ak
