band,distance_km,name,city,district,address,phone,website,rating,reviews,type,status,maps,lat,lng,place_id
0–5 km,0.74,D&V Art and English Academy 英語藝術學院,桃園市,楊梅區,桃園市楊梅區四維里四維路62號,03 481 0548,,5,2,學校,OPERATIONAL,https://maps.google.com/?cid=11706052368035496537&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9139281,121.18044069999999,ChIJjaZ1dFAjaDQRWULgfptAdKI
0–5 km,0.75,私立勝豐美語珠心算短期補習班,桃園市,楊梅區,桃園市楊梅區埔心里新興街35號,03 481 7643,http://www.anayeh.com/sf,5,12,學校,OPERATIONAL,https://maps.google.com/?cid=5622297850182312696&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.918405999999997,121.18533300000001,ChIJMTkWf0MjaDQR-CKPRRtqBk4
0–5 km,0.89,空中美語兒童美語 楊梅艾奇德 分校,桃園市,楊梅區,桃園市楊梅區四維里文化街96號,03 481 8811,http://www.4kids.com.tw/,5,1,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=1863695743369810872&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9145519,121.1842762,ChIJyVnDHUUjaDQRuBP3gGct3Rk
0–5 km,0.96,承恩美語補習班,桃園市,楊梅區,桃園市楊梅區四維里四維路162號,03 481 1177,,4.8,33,學校,OPERATIONAL,https://maps.google.com/?cid=11221506505123687293&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.912301000000003,121.18172340000001,ChIJ2as8PVAjaDQRfeuhWrbMups
0–5 km,3.03,甜蜜美語文理短期補習班,桃園市,楊梅區,桃園市楊梅區裕成里裕成路158巷31號,03 431 4018,,3,2,學校,OPERATIONAL,https://maps.google.com/?cid=1919858757216377385&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.898957000000003,121.15943100000001,ChIJYbBk4E87aDQRKRrOKl61pBo
0–5 km,3.3,愛美語楊梅大同二校-漢峰補習班,桃園市,楊梅區,桃園市楊梅區楊梅里梅高路60號,03 488 2055,,5,2,學校,OPERATIONAL,https://maps.google.com/?cid=16961882910019448895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9172901,121.14555299999999,ChIJS3s3FgYlaDQRP3B6haO2ZOs
0–5 km,3.35,莫比思美語楊梅分校 智瀚語文補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大平街23號,03 478 3105,,4.8,4,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=882732199886006311&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9107126,121.14666640000002,ChIJlRS3NzU7aDQRJygBRkIYQAw
0–5 km,3.37,愛美語楊梅大同一校-漢峰語文文理補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大平街62號,03 475 0803,https://www.facebook.com/hf4750803/?ref=bookmarks,5,21,學校,OPERATIONAL,https://maps.google.com/?cid=14572345456801926781&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910870700000004,121.14639969999999,ChIJfQ3QwBs7aDQRfc70QPxeO8o
0–5 km,3.48,私立傑西美語短期補習班-楊梅兒童美語|推薦英文班|英文補習班|全美班|外師一對一|全民英檢課程|全科補習班|幼兒美語,桃園市,楊梅區,桃園市楊梅區楊梅里大模街33號57號,03 478 0758,https://www.facebook.com/jessiemagicschooll/,4.9,104,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=10190572630728074260&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9118364,121.14486769999999,ChIJzQhw0DQ7aDQRFGRd0NAvbI0
0–5 km,3.48,政大聯合文理語文短期補習班,桃園市,楊梅區,桃園市楊梅區楊梅里大成路109號3F,0981 745 350,,1,1,學校,OPERATIONAL,https://maps.google.com/?cid=709538259725970128&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910428,121.14539099999999,ChIJcznwIDU7aDQR0OqDtUnJ2Ak
0–5 km,3.56,喬立安美語Joanne’s Language Program,桃園市,楊梅區,桃園市楊梅區楊江里大平街85號,03 485 4477,https://www.facebook.com/joannestw,4.6,10,學校,OPERATIONAL,https://maps.google.com/?cid=11250750969546028302&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910933099999998,121.1444006,ChIJeVfwshg7aDQRDjUs1GWyIpw
0–5 km,3.61,空中美語兒童美語 佶林文理短期補習班,桃園市,楊梅區,桃園市楊梅區楊江里大平街126號,03 485 4778,,4.4,19,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17027078322080113698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9110952,121.1438123,ChIJvZ2PuDQ7aDQRIuRWRoVVTOw
0–5 km,3.66,凱思英語短期補習班,桃園市,楊梅區,桃園市楊梅區永寧里永寧路一巷6號,03 485 4650,https://www.facebook.com/ksenglishlanguageschool/,4.3,24,學校,OPERATIONAL,https://maps.google.com/?cid=5314190711464383295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9031639,121.1471083,ChIJ3So4zTc7aDQRP9OD2UvMv0k
0–5 km,3.68,群勵文理美語補習班,桃園市,楊梅區,桃園市楊梅區永寧里永寧路17巷2號,03 488 0637,,5,5,學校,OPERATIONAL,https://maps.google.com/?cid=1572116877325483114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.903121799999997,121.14697640000001,ChIJF-wC9b07aDQRarxhcvhH0RU
0–5 km,3.85,喬登美語(祥安分校),桃園市,平鎮區,桃園市平鎮區湧安里湧安路44號,03 419 2435,http://www.nean-nei.com.tw/,4.8,41,學校,OPERATIONAL,https://maps.google.com/?cid=9307923240357268090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.894544,121.20374400000001,ChIJ9TFbvM08aDQRegoZIt9iLIE
0–5 km,4.35,佑育語文文理短期補習班,桃園市,楊梅區,桃園市楊梅區新榮里富榮路15號2樓,03 490 6733,,5,2,學校,OPERATIONAL,https://maps.google.com/?cid=6354447563662897004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9568194,121.16269410000001,ChIJr2floXskaDQRbC_5T2SIL1g
